"","time","precipitation","temperature","wind_speed","pressure_atm","vapor_p_def","sensible_heat","latent_heat","soil_water"
"1",19960101,0.099,-6.317,2.655,96.484,0.3,38.1644,8.04737,NA
"2",19960102,0.301,-8.194,2.04,96.908,0.288,16.899,11.0702,NA
"3",19960103,1.183,-6.493,2.058,97.854,0.301,33.0515,14.7321,NA
"4",19960104,0.42,-5.817,1.531,97.921,0.318,38.1644,8.04737,NA
"5",19960105,0,-7.153,3.054,97.179,0.329,16.899,11.0702,NA
"6",19960106,0,-5.468,3.968,96.576,0.308,33.0515,14.7321,NA
"7",19960107,0.142,-0.947,2.824,96.311,0.605,38.1644,8.04737,NA
"8",19960108,2.238,1.896,1.663,97.218,0.678,16.899,11.0702,NA
"9",19960109,0,1.084,2.275,97.183,0.998,33.0515,14.7321,NA
"10",19960110,0,0.359,2.027,97.025,1.124,38.1644,8.04737,NA
"11",19960111,0.216,2.857,2.16,96.772,2.326,16.899,11.0702,NA
"12",19960112,0.353,3.316,1.984,96.678,2.173,33.0515,14.7321,NA
"13",19960113,0,2.668,1.69,97.483,1.673,38.1644,8.04737,NA
"14",19960114,0,1.5,1.878,98.203,1.621,16.899,11.0702,NA
"15",19960115,0.077,-0.606,2.149,98.662,1.352,33.0515,14.7321,NA
"16",19960116,0.104,-0.85,1.661,98.85,0.928,38.1644,8.04737,NA
"17",19960117,0,1.348,1.489,98.656,0.806,16.899,11.0702,NA
"18",19960118,0.11,-6.124,1.124,98.152,0.435,33.0515,14.7321,NA
"19",19960119,0.415,-5.752,1.887,97.885,0.308,38.1644,8.04737,NA
"20",19960120,0.206,-6.586,3.874,97.965,0.338,16.899,11.0702,NA
"21",19960121,0,-6.308,3.255,98.255,0.33,33.0515,14.7321,NA
"22",19960122,0,-8.937,3.354,98.285,0.249,38.1644,8.04737,NA
"23",19960123,0,-7.097,4.793,97.894,0.303,16.899,11.0702,NA
"24",19960124,0,-7.851,5.426,97.706,0.292,33.0515,14.7321,NA
"25",19960125,0.164,-14.248,5.523,97.691,0.268,38.1644,8.04737,NA
"26",19960126,0.961,-11.978,4.636,97.624,0.272,16.899,11.0702,NA
"27",19960127,2.757,-10.601,3.275,97.945,0.285,33.0515,14.7321,NA
"28",19960128,0.778,-9.497,3.274,98.225,0.288,38.1644,8.04737,NA
"29",19960129,0.148,-6.894,3.412,98.25,0.287,16.899,11.0702,NA
"30",19960130,0,-6.47,3.129,98.734,0.291,33.0515,14.7321,NA
